feature,importance
amount_ratio,4745
amount,4307
device_id,3858
location,3688
avg_transaction,3630
account_age_days,3533
merchant,3039
mcc,1023
signal_high_risk_mcc,429
signal_device_change,311
signal_velocity_10min_high,297
signal_high_risk_merchant,296
hour,291
is_small_amount,213
is_frequent_traveler,175
signal_night_transaction,101
signal_amount_anomaly_5x,61
signal_amount_anomaly_3x,47
is_round_amount,26
signal_new_account,0
day_of_week,0
is_weekend,0
is_night,0
signal_velocity_1h_high,0
is_home_country,0
signal_geo_anomaly,0
currency,0
